archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
dimir,Dimir Midrange,modern-challenge-96-2026-09-0912853726#Andeloth,mtgo,2026-09-09,Modern Challenge 96,Andeloth,,different-deck,medium,post,pass3,keep,"out: the mono-blue Namor, Charm and Shoal tempo shell is not Dimir Midrange","angle 2: Admitted by the splash line. 4 Archmage's Charm, 4 Disrupting Shoal, 4 Namor the Sub-Mariner, 4 Force of Negation, 4 Counterspell, 3 Spell Snare, 2 Lorien Revealed on 5 Island, with 4 Psychic Frog, 3 Quantum Riddler, 4 Fatal Push, 2 Sheoldred's Edict and no Thoughtseize, Bowmasters, Kaito or Tamiyo. That is the mono-blue Namor/Charm/Shoal counter-tempo shell (20 lists of its own in the store on Hexcatcher and Wondrous Wasp, none with Frog, none classified) with a black splash for Frog and Push, not the Thoughtseize and Bowmasters midrange deck the ruling describes. SpiderSpace's 22306 (4 Shoal beside 4 Thoughtseize) is the midrange deck testing Shoal and stays either way. Proposed rule: Add 'namor': ('Namor the Sub-Mariner',) to ENGINES and to dimir's excluded_engines. Measured: moves out exactly 11563 (1 MTGO list, 0 paper); the other 22 Namor lists in the store already belong to nothing and no other deck's member holds Namor.","Re-read from the store: list 11563 is Andeloth, Modern Challenge 96, 2026-09-09, 17th (5-2), currently classified dimir, and every quoted card and count is exact: 4 Archmage's Charm, 4 Disrupting Shoal, 4 Namor the Sub-Mariner, 4 Force of Negation, 4 Counterspell, 3 Spell Snare, 2 Lorien Revealed, 5 Island, 4 Psychic Frog, 3 Quantum Riddler, 4 Fatal Push, 2 Sheoldred's Edict, with no Thoughtseize, Bowmasters, Kaito or Tamiyo (a 61-card main, 20 lands). The rule as written admits it: Frog and Riddler in the main, nothing off UB, none of necro, persist, oculus, goryos or shadow. Against the population it is a clear different deck: of 464 Dimir members (427 MTGO) Thoughtseize is in 461, Bowmasters in 448, Kaito in 388, and 11563 is the only member holding neither Thoughtseize nor Bowmasters, the only one on Archmage's Charm or Namor, and one of two on Shoal (the other is SpiderSpace's 22306 on 4 Shoal beside 4 Thoughtseize, which stays). Its nearest list by mainboard overlap (45 of 61) is Andeloth's own unclassified 11177 from July: the same Namor, Charm, FoN, Counterspell, Frog and Push shell with Thundertrap Trainer and Flare of Denial in the Riddler slots, so this is the pilot's Namor tempo deck picking up Riddler, not a Dimir Midrange build; no Dimir member overlaps it above 39. The adopted ruling places Oculus, Necro, Persist, Goryo's, Shadow, Grixis and Esper Frog and the Moonshadow build, and says nothing about the Namor shell, so it is not re-litigation; the ruling's own test for a marker (one card that names the deck without moving clean lists) is met. Re-measured with 'namor': ('Namor the Sub-Mariner',) in ENGINES and in dimir's excluded_engines over the store and the paper lists: exactly one list moves, 11563 (dimir to unclassified), 0 paper, 22306 stays dimir. Minor counting slips in the finder's text that do not bear on the verdict: there are 23 other Namor lists (18 MTGO, 5 paper), not 20 or 22, all unclassified, with Vodalian Hexcatcher in 15, Wondrous Wasp in 10 and Harbinger of the Seas in 20."
jeskai,UWr Control,modern-league-2026-05-1910628#Curryvore,mtgo,2026-05-19,Modern League,Curryvore,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: 3 Teferi, 4 Consult, 4 Narset, 4 Orim's Chant, 2 Isochron Scepter, 2 Day's Undoing, 3 Prismatic Ending, 3 Solitude, 2 Counterspell, 2 Force, 2 Spell Snare with 3 Supreme Verdict as the sweeper, no Wrath; nothing off-colour. Five of the seven engines. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","All five hold. (1) Store list 16307 is Curryvore, Modern League, 2026-05-19, archetype None, and classify_now agrees (0 store vs classifier mismatches, baseline 477 members). (2) Every quoted count is exact: 3 Teferi, 4 Consult, 4 Narset, 4 Orim's Chant, 2 Isochron Scepter, 2 Day's Undoing, 3 Prismatic Ending, 3 Solitude, 2 Counterspell, 2 Force of Negation, 2 Spell Snare, 3 Supreme Verdict; Wrath of the Skies is 0 in the main (2 in the side), no off-colour nonland card, no excluded engine card, five of the seven engines held. (3) config.py's jeskai signature is (""Teferi, Time Raveler"", ""Wrath of the Skies""), so _holds_core fails on the missing Wrath and the list never reaches the supporting or colour tests, which is exactly the finder's account; fallout is empty because the core is not held. (4) The list is the Azorius Consult, Chant and Scepter shell in blue and white with Wrath sitting in the sideboard, so the sweeper slot is the meta-adapted interaction the UWr Control ruling itself says varies; the ruling's Applies line names Wrath in the mainboard but does not place Supreme Verdict or Terminus lists, so this is a proposed amendment of the signature and not a re-litigation of a placed list. (5) Re-measured with the 10962 sweeper form (signature Teferi only, either Wrath | Terminus | Supreme Verdict | Temporary Lockdown, supporting, colours and excluded engines unchanged): 16307 becomes jeskai, exactly 23 in (21 store, 2 paper: Jeskaiburn at Brisbane, khah1 at Dallas), 0 out, 0 other moves, matching the finder's figure. Script at /private/tmp/claude-501/-Users-alejandrofp-Projects-mtg-archetype-tracking/925370ac-349d-4903-89b8-292b09613824/scratchpad/pass3/verify/v16307.py."
jeskai,UWr Control,modern-league-2026-05-2010628#Ivc,mtgo,2026-05-20,Modern League,Ivc,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: Ivc's Narset/Chant/Trainer shape (see 22648): 4 Teferi, 4 Narset, 4 Chant, 4 Trainer, 2 Day's Undoing, 3 Stock Up, 4 Suppression Ray, 4 Solitude, 4 Prismatic Ending, 3 Temporary Lockdown, 1 Supreme Verdict, no Wrath. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","All five hold. (1) The store has exactly one Ivc list on 2026-05-20, Modern League, and it is list_id 16341 (archetype None, not in fall-out because it fails the signature rather than a reason). (2) Every quoted card and count matches the mainboard read from configurations: 4 Teferi, Time Raveler, 4 Narset, Parter of Veils, 4 Orim's Chant, 4 Thundertrap Trainer, 2 Day's Undoing, 3 Stock Up, 4 Suppression Ray, 4 Solitude, 4 Prismatic Ending, 3 Temporary Lockdown, 1 Supreme Verdict, 0 Wrath of the Skies (none in the side either; side is 4 Consign, 4 Dispute, 2 High Noon, 2 Lantern, 2 Wear/Tear, 1 Lockdown). 60 cards, 42 nonland. (3) The current rule's signature is (""Teferi, Time Raveler"", ""Wrath of the Skies""), so _holds_core is False on Wrath alone; the list holds four of the seven supporting engines, casts no spell outside UWR (Sacred Foundry and Steam Vents are lands, which say nothing), and carries none of the eight excluded engine markers. Wrath is the only thing keeping it out. (4) The UWr ruling names as outside the Omnath, Creativity and Saheeli hybrids and the Ponza, Blink midrange, Zoo and energy decks; it never places a Wrath-less control list, and its stated intent is the blue and white control shell over a draw engine with interaction that varies by meta. This is Azorius control on Lockdown and Verdict as the sweeper, registered by Ivc seven times between 2026-05-20 and 2026-09-01 (16341, 16529, 18446, 19149, 19867, 20375, 22648) and copied by grenzos and yodela, so the exclusion is a gap the ruling did not consider rather than a placement it made. Caveat for the pilot: Wrath is in the ruling's stated core, so adopting the sweeper form is a change to the core he wrote and needs his verdict; it is the same rule as 10962 and stands or falls with it. (5) Re-measured with classify_now and the jeskai rule patched to signature Teferi with either of Wrath, Terminus, Supreme Verdict or Temporary Lockdown (supporting, colours and engines unchanged): baseline 477 members; 23 in (21 store, 2 paper: Jeskaiburn p111 Brisbane, khah1 p526 Dallas), 0 out, 0 lists moving between any other archetypes. 16341 is among the 23. Script: /private/tmp/claude-501/-Users-alejandrofp-Projects-mtg-archetype-tracking/925370ac-349d-4903-89b8-292b09613824/scratchpad/pass3/verify/v16341.py"
jeskai,UWr Control,modern-league-2026-05-2110628#Fatal_Vlad,mtgo,2026-05-21,Modern League,Fatal_Vlad,,hybrid,low,post,pass3,drop,out: Ephemerate is not control; unclassified until the population names a deck,"angle 4: Ephemerate 4, Quantum Riddler 4, Solitude 4, Subtlety 2, Witch Enchanter 1, Archaeomancer 1 on Consult 3, Orim's Chant 3, Teferi 3, Wrath 3, Counterspell 2, Force of Negation 2, Prismatic Ending 3, no Phelia. Blink value package with ETB targets (Enchanter, Archaeomancer) inside a control suite; the rule as written admits it because the marker for the Blink midrange deck is Phelia alone. Proposed rule: Same rule as Mykkii's list: Ephemerate joins the 'blink' engine. Exactly 4 jeskai members leave (3 MTGO leagues, 1 paper), 0 enter.","The list exists as stated (store id 16477, Modern League 2026-05-21, Fatal_Vlad, 5-0, archetype jeskai) and every quoted card and count is right: Ephemerate 4, Quantum Riddler 4, Solitude 4, Subtlety 2, Witch Enchanter 1, Archaeomancer 1, Consult the Star Charts 3, Orim's Chant 3, Teferi 3, Wrath of the Skies 3, Counterspell 2, Force of Negation 2, Prismatic Ending 3, no Phelia (also no Flickerwisp, no Overlord). The rule does what the finder says: Teferi and Wrath with Consult and Chant as the engine, all spells inside UWR, and the only Blink marker in ENGINES is Phelia, so it is admitted. The re-measure with Ephemerate added to the blink engine also matches: exactly 4 jeskai members leave (16477 Fatal_Vlad, 18105 toto_2295, 23264 Valident, all MTGO leagues, and Mykkii's Spotlight Dallas list), 0 enter, no other deck touched, and the current classifier agrees with the store on every jeskai list. What fails is the deck-error claim. The adopted UWr Control ruling (2026-09-13) says control adapts its interaction to the meta so a variety of interaction is expected, and names the Blink midrange deck by Phelia; the adopted Esper Blink ruling says Blink is the four creatures together and a list that cuts any one of them is not Blink. This list holds none of Phelia, Flickerwisp or Overlord, and its non-control cards are Ephemerate over Solitude (3 or 4 Solitude sits in 417 of 477 members), Subtlety (in 18 members) and Riddler, with one Enchanter and one Archaeomancer: recurring interaction inside an intact control shell (27 control spells including 3 Wrath), which is variation inside the engine, not a second engine. The Phelia marker already separates the 27 Teferi+Wrath+Ephemerate lists that are the Blink midrange deck, so the proposed rule would only remove four Ephemerate control builds that the pilot's rulings place inside UWr Control. Not a deck error, and no ruling names this list, so nothing here is up for re-litigation."
jeskai,UWr Control,modern-league-2026-05-2210628#Ivc,mtgo,2026-05-22,Modern League,Ivc,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: Card for card 16341 (Ivc's shape), no Wrath, 3 Temporary Lockdown and 1 Supreme Verdict as the sweepers. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","(1) The store holds exactly one list for Ivc, Modern League, 2026-05-22: list_id 16529, archetype None, 60-card mainboard, inside the history window. (2) Cards confirmed: Wrath of the Skies 0 main and 0 side; Temporary Lockdown 3 main (1 side); Supreme Verdict 1 main; Teferi, Time Raveler 4; plus 4 Narset, 4 Orim's Chant, 4 Thundertrap Trainer, 2 Day's Undoing, 3 Stock Up, 4 Solitude, 4 Prismatic Ending, 4 Suppression Ray. Main and side are identical to 16341, Ivc's 2026-05-20 list. (3) Under config.py as written the jeskai signature is (Teferi, Wrath of the Skies), so _holds_core is False on the missing Wrath and the list is neither a member nor in the fall-out; it holds four of the seven supporting engines, casts nothing outside UWR, and carries none of the eight excluded engines, so Wrath is the only thing keeping it out. (4) No ruling names this list or any Wrath-less list; the UWr Control entry states the deck as the blue-white control shell over a draw engine with interaction that adapts to the meta, and this is an Azorius control list on Narset, Day's Undoing, Trainer and Stock Up with Lockdown and Verdict as its sweepers, no other archetype claiming it. Ivc's whole run on this shape (7 league lists, May to September) is outside the population today. The Wrath requirement is in the adopted text, so adopting the sweeper form still needs Alejandro's verdict on the core, but the list is a genuine error by the ruling's own principle. (5) Re-measured with signature (Teferi,) and either = Wrath | Terminus | Supreme Verdict | Temporary Lockdown, supporting, colours and engines unchanged: 477 members baseline, 23 in (21 store, 2 paper: Jeskaiburn Brisbane 111th, khah1 Dallas 526th), 0 out, 0 other moves, 16529 admitted. Matches the finder's 23 in, 0 out exactly."
jeskai,UWr Control,modern-league-2026-05-2210628#Valident,mtgo,2026-05-22,Modern League,Valident,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: Valident, whose Chant/Scepter/Narset/Flow State build the ruling admitted in 13 lists: 4 Teferi, 4 Narset, 4 Orim's Chant, 4 Flow State, 2 Day's Undoing, 4 Solitude, 4 March, 2 Prismatic Ending, 4 Lorien Revealed, 2 Cease/Desist (under the line) with 4 Supreme Verdict as the sweeper and no Wrath of the Skies. His other lists hold Wrath and are members. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","Confirmed on the store. (1) List 16537 is Valident's Modern League list of 2026-05-22, unclassified; his 15 other lists in the store (the finder said 13) are all jeskai members and every one holds Wrath of the Skies. (2) The mainboard is exactly as quoted: 4 Teferi, 4 Narset, 4 Orim's Chant, 4 Flow State, 2 Day's Undoing, 4 Solitude, 4 March of Otherworldly Light, 2 Prismatic Ending, 4 Lorien Revealed, 2 Cease/Desist, 4 Supreme Verdict, 0 Wrath of the Skies, 60 cards; Isochron Scepter is 2 in the sideboard, not the main, which the reason does not claim. (3) Under config.py as written Wrath is a signature card, so _holds_core fails, classify_now gives None and the list has no fall-out; the supporting tier (Narset, Day's Undoing, Chant, Flow State) and the splash line (only 2 Cease/Desist outside UWR, under the line) both pass, so the sweeper is the sole reason it is out. (4) The UWr ruling names Wrath core but places no list, and its own reasoning (control adapts its interaction to the meta, Discharge is a build reading) is what the sweeper candidate rests on; this is the same pilot's first post-ban list on the same Teferi/Narset/Chant/Flow State shell with Verdict as the sweeper, so it is a genuine candidate for the pilot and not a re-litigation. (5) Re-measured with signature Teferi and either of Wrath, Terminus, Supreme Verdict or Temporary Lockdown: 23 in (21 store, 2 paper), 0 out, 0 other moves, 16537 among them, matching the 10962 measurement exactly."
jeskai,UWr Control,modern-challenge-32-2026-05-2412842929#bobthedog,mtgo,2026-05-24,Modern Challenge 32,bobthedog,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: 13th. 3 Teferi, 4 Orim's Chant, 1 Isochron Scepter, 1 Consult, 4 Counterspell, 3 Prismatic Ending, 3 Solitude, 2 Force, 2 March, 1 Jace, 1 Teferi Hero with 4 Terminus and 4 Brainsurge, no Wrath of the Skies; nothing off-colour. The Chant/Scepter control shell on Terminus as its sweeper. Proposed rule: Same sweeper rule as 10962: Teferi with any of Wrath, Supreme Verdict, Terminus, Temporary Lockdown; exactly 23 in (21 store, 2 paper), 0 out.","Re-read from the store: list 3772 is bobthedog, 2026-05-24, Modern Challenge 32, 13th, archetype None, and the only bobthedog list on that date. Mainboard (60) matches the reason exactly: 3 Teferi, Time Raveler, 4 Orim's Chant, 1 Isochron Scepter, 1 Consult the Star Charts, 4 Counterspell, 3 Prismatic Ending, 3 Solitude, 2 Force of Negation, 2 March of Otherworldly Light, 1 Jace, the Mind Sculptor, 1 Teferi, Hero of Dominaria, 4 Terminus, 4 Brainsurge, plus 1 Dress Down, 1 Spell Snare, 1 Telling Time; Wrath of the Skies is in the sideboard only (1 copy). Every spell is blue or white (the one Steam Vents is a land and the colour line ignores lands), no excluded engine card is present, and fallout() is empty because the list fails the signature itself: config.py names Wrath of the Skies as the second signature card, so a Terminus build never reaches the supporting or colour tests, which is what the finder says. Under the ruling of 2026-09-13 the deck is the blue and white control shell, Teferi over a draw engine, with interaction read as meta-adaptive; the ruling never names a Terminus build or this list, and the current 477 members already carry Supreme Verdict in 387 of them alongside Wrath, so the sweeper is not what separates the population. Re-measured with the patched rule (signature Teferi alone, either-group of Wrath, Supreme Verdict, Terminus, Temporary Lockdown) via classify_now over the store and both Spotlights: in=23 (21 store, 2 paper), out=0, no other archetype's assignment moves, and the store's stored archetypes match the live classifier on all rows. The 23 are 3 challenge Terminus lists (3772, 8842, 10962), 18 league lists (Ivc 7, grenzos 3, Curryvore 2 and six others on Verdict, Terminus or Lockdown with 3 to 4 Teferi and Chant or Trainer), Jeskaiburn's Brisbane Terminus list and khah1's Dallas Verdict list; none carries Phelia, Wrenn and Six or an energy card. Caveat for the pilot: this widens the Applies line's core from Teferi plus Wrath to Teferi plus any sweeper, so it is a ruling amendment to put to him, not a mechanical fix, and it stands or falls together with 10962."
jeskai,UWr Control,modern-challenge-64-2026-05-3012843409#GWT,mtgo,2026-05-30,Modern Challenge 64,GWT,,false-negative,medium,post,pass3,keep,"in: Wan Shi Tong is supporting, an engine 15% of members already run","angle 1: 19th. 3 Teferi, 3 Wrath of the Skies, 4 Counterspell, 4 Prismatic Ending, 4 Solitude, 3 Spell Snare, 2 Dovin's Veto, 1 Supreme Verdict, 1 Shark Typhoon with 4 Memory Deluge and 4 Wan Shi Tong as the draw; nothing off-colour. Fallout 'supporting': none of the seven engines. Azorius control on two draw engines the list does not name. Proposed rule: Add 'Wan Shi Tong, Librarian' to the jeskai supporting tier (exactly 5 in, 0 out). Memory Deluge alone would move exactly this one list (store 1, paper 0) and is redundant once Wan Shi Tong is on the list.","Re-read from the store: list 7547 is GWT, 2026-05-30, Modern Challenge 64, 19th, archetype null. Mainboard (60) as quoted: 3 Teferi, Time Raveler, 3 Wrath of the Skies, 4 Counterspell, 4 Prismatic Ending, 4 Solitude, 3 Spell Snare, 2 Dovin's Veto, 1 Supreme Verdict, 1 Shark Typhoon, 4 Memory Deluge, 4 Wan Shi Tong, Librarian, plus 1 Hallowed Moonlight and 1 Tune the Narrative; every spell is blue or white, no excluded engine card. classify_now returns None and fallout is exactly [('jeskai', 'supporting')]: it holds both signature cards and none of the seven engines in config.py. The UWr Control ruling in HEURISTICS.md places Teferi and Wrath over a draw engine with Jeskai and Azorius tracked together, and names no list on Wan Shi Tong or Memory Deluge either way, so this is an omission from the engine list, not a placement. Re-measured with a patched supporting tier over the store and the paper lists: adding Wan Shi Tong moves exactly 5 in and 0 out (7547; phillydrew215 3rd on 2026-06-28 and his 2026-07-17 league list, both the Ketramose build on 3 Ketramose, which the splash line admits; JakeTMS 28th on 2026-07-02 on Loki and Bauble; olivierruelmailfert's Pro Tour Amsterdam list at 210, the same Ketramose build), all four Azorius control on Teferi, Wrath, Counterspell, Solitude and Prismatic Ending. Memory Deluge alone moves exactly 7547 (store 1, paper 0); both together move the same 5, so Deluge is redundant as the finder said. No other list changes archetype under either patch."
jeskai,UWr Control,modern-league-2026-05-3110628#DoomDriver501,mtgo,2026-05-31,Modern League,DoomDriver501,,false-negative,low,post,pass3,keep,in: Stock Up is supporting; the Karn wishboard is a build reading,"angle 1: 2 Teferi, 4 Wrath of the Skies, 4 Solitude, 4 Reprieve, 3 Path to Exile, 2 March, 1 Prismatic Ending, 4 Erode, 2 Razorgrass Ambush with 4 Stock Up and 1 Brainsurge as the draw and 3 Karn, the Great Creator over a wishboard (Ensnaring Bridge, Liquimetal Coating, Elixir, Explosives, Cityscape Leveler); nothing off-colour. Fallout 'supporting'. An Azorius control shell whose engine is Stock Up plus Karn; Stock Up sits in 65 of 477 members. Low because the Karn wishboard makes it as much a prison build as a control one. Proposed rule: Add 'Stock Up' to the jeskai supporting tier. Measured: exactly 2 in (17132, 17557), 0 paper, 0 members out of any deck.","Re-read from the store: list 17132 is DoomDriver501, Modern League, 2026-05-31, 60 mainboard, store archetype None, fallout [('jeskai', 'supporting')]. Every quoted card and count is right: 2 Teferi, Time Raveler, 4 Wrath of the Skies, 4 Solitude, 4 Reprieve, 3 Path to Exile, 2 March of Otherworldly Light, 1 Prismatic Ending, 4 Erode, 2 Razorgrass Ambush, 4 Stock Up, 1 Brainsurge, 3 Karn, the Great Creator, with Ensnaring Bridge, Liquimetal Coating, Elixir of Immortality, Engineered Explosives and Cityscape Leveler in the side; _spells_outside on UWR is empty, so nothing off-colour. The rule does what the finder says: _holds_core is True and _reason returns 'supporting' because the list holds none of the seven engines. It is a genuine error under the rulings rather than a placed list: the same pilot's 16415 of 2026-05-21 is a jeskai member, and the diff between it and 17132 is 1 Consult the Star Charts swapped for 1 Brainsurge plus land tweaks (Ghost Quarter out, a third Verge and a Henge in, one March for one Prismatic Ending); the Karn wishboard is in the member too, so the prison worry does not separate the two lists, and no ruling names 17132 or 17557. Re-measured over the store and the paper lists with 'Stock Up' appended to the jeskai supporting tier: exactly 2 lists change, 17132 and 17557 (both DoomDriver501, None to jeskai), 0 paper, 0 members leave any deck; Stock Up sits in 65 of the current 477 members."
jeskai,UWr Control,modern-league-2026-06-0310628#jakupsmydl,mtgo,2026-06-03,Modern League,jakupsmydl,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: 3 Teferi, 4 Narset, 2 Consult, 2 Day's Undoing, 4 Counterspell, 4 Leyline Binding, 4 Prismatic Ending, 4 Solitude, 3 Preordain, 1 Force, 1 Cosmic Rebirth (under the line) with 3 Supreme Verdict, no Wrath. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","All five hold. (1) The store has exactly one list for jakupsmydl, Modern League, 2026-06-03: list_id 17319, archetype None, a 60-card mainboard. (2) Every quoted count matches: 3 Teferi, Time Raveler, 4 Narset, 2 Consult the Star Charts, 2 Day's Undoing, 4 Counterspell, 4 Leyline Binding, 4 Prismatic Ending, 4 Solitude, 3 Preordain, 1 Force of Negation, 1 Cosmic Rebirth (GW, the only off-UWR spell, one copy, a splash), 3 Supreme Verdict, 0 Wrath of the Skies in the main (3 in the side). (3) The jeskai rule in config.py has signature (Teferi, Wrath of the Skies), so _holds_core is False on this list: it is neither a member nor in the fall-out, exactly as the finder says; it holds three of the seven supporting engines, no excluded engine and casts nothing beyond the splash line, so Wrath is the only thing keeping it out. (4) No ruling names this list. The adopted ruling calls the deck the blue-white control shell, says Jeskai and Azorius are one deck and that control adapts its interaction to the meta; this is an Azorius control list on Narset, Consult, Day's Undoing, Counterspell, Solitude, Binding and Ending whose sweeper is Supreme Verdict with Wrath in the sideboard, so it is a deck error, the same case as 10962 and the other Verdict and Terminus lists. (5) Re-measured with classify_now over the store and paper lists with the 10962 sweeper form (signature Teferi, either Wrath | Terminus | Supreme Verdict | Temporary Lockdown): in=23 (21 store, 2 paper), out=0, no other archetype moves, 17319 among the admitted, all 23 previously None; baseline 477 jeskai members. The narrower Wrath | Terminus | Verdict form also admits it (19 in, 0 out). Script and output at /private/tmp/claude-501/-Users-alejandrofp-Projects-mtg-archetype-tracking/925370ac-349d-4903-89b8-292b09613824/scratchpad/pass3/verify/v17319.py and v17319_measure.txt."
jeskai,UWr Control,modern-league-2026-06-0310628#medical,mtgo,2026-06-03,Modern League,medical,,false-negative,medium,post,pass3,keep,"in: the sweeper slot is Wrath, Supreme Verdict, Terminus or Temporary Lockdown; control adapts its sweeper","angle 1: 4 Teferi, 4 Orim's Chant, 3 Consult, 1 Scepter, 4 Prismatic Ending, 2 Counterspell, 2 March, 2 Teferi Hero, 1 Jace, 4 Vexing Bauble with 4 Terminus and 4 Brainsurge, no Wrath; nothing off-colour. Proposed rule: Same sweeper rule as 10962; exactly 23 in, 0 out.","Confirmed on all five points. (1) The store holds list_id 17320 for medical, Modern League, 2026-06-03, archetype NULL, inside the 2026-05-19 boundary; medical's other four lists (2026-05-20, 08-11, 08-28, 09-10) are jeskai members. (2) Every quoted count matches the configurations table: 4 Teferi, Time Raveler, 4 Orim's Chant, 3 Consult the Star Charts, 1 Isochron Scepter, 4 Prismatic Ending, 2 Counterspell, 2 March of Otherworldly Light, 2 Teferi, Hero of Dominaria, 1 Jace, the Mind Sculptor, 4 Vexing Bauble, 4 Terminus, 4 Brainsurge, 0 mainboard Wrath of the Skies (1 in the side); _spells_outside on UWR is empty and fallout is empty. (3) The jeskai rule's signature is (""Teferi, Time Raveler"", ""Wrath of the Skies"") and _holds_core requires both, so the list fails core on Wrath alone; every other clause (supporting via Chant/Consult/Scepter, colours, excluded engines) passes, and classify_now returns (None, None). (4) No adopted ruling names Terminus, Supreme Verdict, Temporary Lockdown, Brainsurge or a Miracles build (grep over HEURISTICS.md, CONTEXT.md, docs/adr and config.py returns nothing), so a Wrath-less shell list is not placed by any ruling; the UWr Control ruling's own principle is that control adapts its interaction to the meta and the shell-versus-core ruling says a staple the shell can test without is supporting. The same pilot's four member lists run 2-3 Wrath with the identical Chant/Teferi/Consult shell and this one swaps the sweeper for 4 Terminus, which is a build difference, not a different deck. (5) Re-measured with signature (""Teferi, Time Raveler"",) and either groups Wrath | Supreme Verdict | Terminus | Temporary Lockdown over the store and paper lists: in=23 (21 MTGO, 2 paper), out=0, no other archetype moves, 17320 admitted; this matches the finder's 23 in, 0 out exactly. For the pilot's reference, without Lockdown in the tier it is 19 in, 0 out, and Wrath | Terminus alone is 6 in, 0 out (3772 bobthedog, 8842 Dabol-R, 10962 Tommi1685, 17320 medical, 20344 Simunsorx, Jeskaiburn at Brisbane). Script and output: /private/tmp/claude-501/-Users-alejandrofp-Projects-mtg-archetype-tracking/925370ac-349d-4903-89b8-292b09613824/scratchpad/pass3/verify/v17320.py and v17320_measure.txt. The one thing left for the pilot is whether the Terminus/Brainsurge (Miracles) and Trainer/Lockdown builds are the same deck as the Wrath shell; the candidate is sound as a question to put to him."
jeskai,UWr Control,modern-league-2026-06-0610628#DoomDriver501,mtgo,2026-06-06,Modern League,DoomDriver501,,false-negative,low,post,pass3,keep,in: Stock Up is supporting; the Karn wishboard is a build reading,"angle 1: The same shell a week later: 2 Teferi, 4 Wrath, 4 Solitude, 4 Reprieve, 4 Stock Up, 2 Brainsurge, 2 Karn, 4 Erode, 3 Path, 2 March, 2 Razorgrass Ambush. Fallout 'supporting'. Proposed rule: Same as 17132: add 'Stock Up' to the jeskai supporting tier; exactly 2 in, 0 out.","(1) List 17557 exists in the store: 2026-06-06, Modern League, DoomDriver501, 5-0, archetype None, fall-out row (jeskai, supporting). (2) Every quoted card and count checks out on re-reading the mainboard: 2 Teferi, Time Raveler, 4 Wrath of the Skies, 4 Solitude, 4 Reprieve, 4 Stock Up, 2 Brainsurge, 2 Karn, the Great Creator, 4 Erode, 3 Path to Exile, 2 March of Otherworldly Light, 2 Razorgrass Ambush; 60 cards, no Cleansing Wildfire. (3) Under config.py the list holds the jeskai core, casts no spell outside UWR, carries none of the eight excluded engines, and holds none of the seven supporting cards, so _reason returns 'supporting' and that alone turns it away. (4) It is a genuine deck error under the adopted rulings: the UWr Control ruling names Teferi and Wrath over a draw engine, the Ponza ruling says Azorius control lists that splash Erode without Wildfire are control decks, and the same pilot's same shell (16415, 2026-05-21, one Consult the Star Charts in place of a Brainsurge) is a jeskai member; the ruling does not place 17557 anywhere, so extending the draw-engine tier to Stock Up follows the ruling rather than re-litigating it. (5) Re-measured over the store and paper lists with Stock Up patched into the supporting tier: exactly 2 lists move, 17132 and 17557, both None to jeskai; 0 members leave. The other 11 core-plus-Stock-Up non-members stay out on omnath, blink or an oversize mainboard (3980, 80 cards)."
